;Gene stable ID;MGI symbol
0;ENSMUSG00000064336;mt-Tf
1;ENSMUSG00000064337;mt-Rnr1
2;ENSMUSG00000064338;mt-Tv
3;ENSMUSG00000064339;mt-Rnr2
4;ENSMUSG00000064340;mt-Tl1
5;ENSMUSG00000064341;mt-Nd1
6;ENSMUSG00000064342;mt-Ti
7;ENSMUSG00000064343;mt-Tq
8;ENSMUSG00000064344;mt-Tm
9;ENSMUSG00000064345;mt-Nd2
10;ENSMUSG00000064346;mt-Tw
11;ENSMUSG00000064347;mt-Ta
12;ENSMUSG00000064348;mt-Tn
13;ENSMUSG00000064349;mt-Tc
14;ENSMUSG00000064350;mt-Ty
15;ENSMUSG00000064351;mt-Co1
16;ENSMUSG00000064352;mt-Ts1
17;ENSMUSG00000064353;mt-Td
18;ENSMUSG00000064354;mt-Co2
19;ENSMUSG00000064355;mt-Tk
20;ENSMUSG00000064356;mt-Atp8
21;ENSMUSG00000064357;mt-Atp6
22;ENSMUSG00000064358;mt-Co3
23;ENSMUSG00000064359;mt-Tg
24;ENSMUSG00000064360;mt-Nd3
25;ENSMUSG00000064361;mt-Tr
26;ENSMUSG00000065947;mt-Nd4l
27;ENSMUSG00000064363;mt-Nd4
28;ENSMUSG00000064364;mt-Th
29;ENSMUSG00000064365;mt-Ts2
30;ENSMUSG00000064366;mt-Tl2
31;ENSMUSG00000064367;mt-Nd5
32;ENSMUSG00000064368;mt-Nd6
33;ENSMUSG00000064369;mt-Te
34;ENSMUSG00000064370;mt-Cytb
35;ENSMUSG00000064371;mt-Tt
36;ENSMUSG00000064372;mt-Tp
37;ENSMUSG00000100384;Gm28489
38;ENSMUSG00000100216;Gm21867
39;ENSMUSG00000099641;Gm29448
40;ENSMUSG00000100271;Gm21127
41;ENSMUSG00000095634;Gm20816
42;ENSMUSG00000101393;Gm29447
43;ENSMUSG00000100885;Gm29446
44;ENSMUSG00000101120;Gm29452
45;ENSMUSG00000101216;Gm29451
46;ENSMUSG00000100032;Gm20817
47;ENSMUSG00000101080;Gm28633
48;ENSMUSG00000094444;Gm21562
49;ENSMUSG00000100308;Gm29410
50;ENSMUSG00000101423;Gm28298
51;ENSMUSG00000095626;Gm21572
52;ENSMUSG00000101761;Gm28297
53;ENSMUSG00000099493;Gm21753
54;ENSMUSG00000096777;Gm21723
55;ENSMUSG00000102119;Gm28462
56;ENSMUSG00000101147;Gm20818
57;ENSMUSG00000100739;Gm28296
58;ENSMUSG00000095345;Gm21821
59;ENSMUSG00000100709;Gm28295
60;ENSMUSG00000101254;Gm20932
61;ENSMUSG00000100976;Gm29134
62;ENSMUSG00000100489;Gm28303
63;ENSMUSG00000101239;Gm28304
64;ENSMUSG00000100971;Gm28824
65;ENSMUSG00000100509;Gm21810
66;ENSMUSG00000095553;Gm21916
67;ENSMUSG00000101099;Gm29191
68;ENSMUSG00000095049;Gm21756
69;ENSMUSG00000101601;Gm28210
70;ENSMUSG00000101516;Gm29074
