sample	fastq_reads	bam_reads	dedup_bam_reads
ACC1827	14222905	6977411	6905249
ACC1831	14945419	8574441	8485857
ACC1833	13733394	7508473	7430780
ACC1836	14134352	7944513	7862006
ACC1838	10262075	6053113	5990656
ACC1844	11119841	6677992	6609334
ACC1845	9004159	5658625	5600051
ACC1846	10902111	7370444	7294484
ACC1847	13014403	8128349	8043878
ACC1848	15000000	6951576	6873833
ACC1849	11078378	7194346	7120177
ACC1851	12119739	8098114	8014916
ACC2040	9376870	6454014	6387542
ACC2044	10874169	6774009	6704485
ACC2045	13314285	8310466	8225073
ACC2046	12647277	8577895	8489095
ACC2049	11504057	7427439	7350653
ACC2050	12086118	8215462	8130975
ACC2052	9797040	5928683	5867451
ACC2054	14230797	8842687	8750847
ACC2055	11070093	7381467	7305000
ACC2058	12516567	8088177	8004997
ACC2059	10866369	6753288	6683564
ACC2060	9806150	5729621	5670698
ACC2063	8662682	5921860	5860968
ACC2065	15000000	9403834	9295855
ACC2070	12243196	7016892	6943945
ACC2071	10845719	7331057	7255222
ACC2072	10996573	6596798	6528405
ACC2073	9775714	6854142	6783717
ACC2074	12541594	7342493	7266573
ACC2075	10680596	6818590	6748249
ACC2079	14662636	9723393	9623464
ACC2080	14531614	8957945	8866055
ACC2081	13181740	9112675	9018011
ACC2084	10405472	6506438	6438799
ACC2085	10986280	7362208	7286838
ACC2086	11667805	6225757	6161371
ACC2087	10162788	5989582	5927509
ACC2088	10944388	7413473	7336426
Hb1828	12623644	7496686	7419391
Hb1829	13145906	8543414	8455197
Hb1830	15000000	7025800	6943145
Hb1832	12316474	8906874	8814836
Hb1833	12699617	8068303	7985112
Hb1834	12069976	8596770	8508293
Hb1837	11896068	8602633	8513972
Hb1839	11376356	7352151	7276241
Hb1843	10634812	6868602	6797561
Hb1845	10917200	7769419	7689041
Hb1846	11491947	6520164	6452765
Hb1847	12272512	7765788	7684810
Hb1848	11978408	8694044	8603896
Hb2040	11858421	7425612	7348705
Hb2043	11999115	7716988	7637263
Hb2044	12157328	7578542	7500207
Hb2045	10160998	5970314	5908601
Hb2046	14834055	9247040	9151139
Hb2049	10509075	5377655	5321359
Hb2050	11117978	7909536	7828125
Hb2052	9619456	6415231	6348731
Hb2054	12751672	7062519	6990057
Hb2055	12680787	8085046	8001238
Hb2058	9807349	6116000	6053263
Hb2059	12251988	7601612	7522957
Hb2060	12860152	7397789	7321259
Hb2065	11076740	6594354	6526507
Hb2070	14007339	7424532	7348058
Hb2071	12156313	8154664	8070437
Hb2073	10787667	6553347	6485655
Hb2074	15000000	5362408	5302607
Hb2075	15000000	8866367	8772897
Hb2076	11444944	6284510	6220029
Hb2080	10449482	7182136	7107665
Hb2082	11943298	8149971	8065257
Hb2083	11404208	7177890	7103505
Hb2084	13268989	8362836	8276950
Hb2085	13438212	8657184	8568216
Hb2086	11833580	7098760	7025853
Hb2088	12867341	8567302	8478805
Ins1828	15000000	7335944	7324466
Ins1830	15000000	8326298	8310010
Ins1832	11086282	6403740	6390219
Ins1834	15000000	4215284	4207076
Ins1837	9944227	594141	592890
Ins1839	14834110	8429352	8411662
Ins1840	15000000	5949242	5939726
Ins1843	14971928	8655865	8638114
Ins1845	11882853	7222470	7207522
Ins1846	13521425	7200919	7185872
Ins1847	15000000	8819895	8805966
Ins1848	13724740	8995166	8976501
Ins1850	10261369	1421239	1418269
Ins1851	12919513	5522093	5510710
Ins2040	11286786	7409099	7393725
Ins2043	15000000	9047845	9033708
Ins2044	12378751	5504575	5493317
Ins2045	9218651	6573685	6559947
Ins2046	15000000	9932921	9914203
Ins2049	8863047	6201379	6188529
Ins2054	13825997	8387027	8369674
Ins2056	11432516	7653611	7637901
Ins2057	11637869	7371313	7356101
