MGI.symbol,rowname,Ins.1787,Ins.1788
4933401J01Rik,ENSMUSG00000102693,0,0
Gm26206,ENSMUSG00000064842,0,0
Xkr4,ENSMUSG00000051951,170,229
Gm18956,ENSMUSG00000102851,0,0
Gm37180,ENSMUSG00000103377,66,53
Gm37363,ENSMUSG00000104017,56,76
Gm37686,ENSMUSG00000103025,25,22
Gm1992,ENSMUSG00000089699,0,2
Gm37329,ENSMUSG00000103201,19,19
Gm7341,ENSMUSG00000103147,0,0
Gm38148,ENSMUSG00000103161,26,22
Gm19938,ENSMUSG00000102331,184,267
Gm10568,ENSMUSG00000102348,5,0
Gm38385,ENSMUSG00000102592,0,0
Gm27396,ENSMUSG00000088333,0,0
Gm37381,ENSMUSG00000102343,0,0
Gm6101,ENSMUSG00000102948,0,0
Rp1,ENSMUSG00000025900,0,0
Gm37483,ENSMUSG00000104123,0,0
Sox17,ENSMUSG00000025902,41,81
Gm37587,ENSMUSG00000104238,0,0
Gm7357,ENSMUSG00000102269,0,0
Gm38076,ENSMUSG00000103003,0,0
Gm37323,ENSMUSG00000104328,0,0
Gm7369,ENSMUSG00000102735,0,0
Gm6085,ENSMUSG00000098104,2,3
Gm6119,ENSMUSG00000102175,0,0
Gm2053,ENSMUSG00000103265,0,0
Gm6123,ENSMUSG00000103922,3,6
Mrpl15,ENSMUSG00000033845,406,543
Gm37144,ENSMUSG00000102275,1,7
Lypla1,ENSMUSG00000025903,182,329
Gm37988,ENSMUSG00000104217,0,0
Tcea1,ENSMUSG00000033813,50,77
Gm6104,ENSMUSG00000062588,0,0
Gm37277,ENSMUSG00000103280,6,2
Rgs20,ENSMUSG00000002459,384,492
Gm17100,ENSMUSG00000091305,0,0
Gm37079,ENSMUSG00000102653,19,42
Gm16041,ENSMUSG00000085623,0,0
Gm17101,ENSMUSG00000091665,1,0
Atp6v1h,ENSMUSG00000033793,1887,2820
Gm7182,ENSMUSG00000104352,0,0
Gm37567,ENSMUSG00000104046,0,0
Gm38264,ENSMUSG00000102907,0,0
Oprk1,ENSMUSG00000025905,285,475
Gm36965,ENSMUSG00000103936,0,0
Gm37429,ENSMUSG00000103519,0,0
Npbwr1,ENSMUSG00000033774,11,28
Gm19214,ENSMUSG00000103090,0,0
Rb1cc1,ENSMUSG00000025907,1337,1756
4732440D04Rik,ENSMUSG00000090031,8,13
Alkal1,ENSMUSG00000087247,3,0
Gm2147,ENSMUSG00000103355,0,1
Gm7417,ENSMUSG00000102706,0,0
Gm19026,ENSMUSG00000103845,6,2
St18,ENSMUSG00000033740,22,15
Gm42492,ENSMUSG00000103329,0,0
Gm7449,ENSMUSG00000104385,0,0
Gm37108,ENSMUSG00000102135,0,0
Gm37275,ENSMUSG00000103282,0,0
Gm37225,ENSMUSG00000102534,0,0
Gm37489,ENSMUSG00000102213,0,0
Gm5694,ENSMUSG00000103629,0,0
Pcmtd1,ENSMUSG00000051285,1022,1410
Gm26983,ENSMUSG00000098201,0,0
Gm38372,ENSMUSG00000103509,1,0
Gm9826,ENSMUSG00000048538,0,0
Nras-ps2,ENSMUSG00000103709,0,0
Gm23274,ENSMUSG00000077244,0,0
Gm19002,ENSMUSG00000102768,0,0
Gm26901,ENSMUSG00000097797,12,21
Gm18984,ENSMUSG00000103498,0,0
Gm30414,ENSMUSG00000103067,0,0
Gm37791,ENSMUSG00000102320,0,0
Gm7470,ENSMUSG00000104226,0,0
Rps2-ps2,ENSMUSG00000103903,0,0
Gm38216,ENSMUSG00000103557,0,0
Sntg1,ENSMUSG00000025909,70,113
Gm38024,ENSMUSG00000102647,0,0
Gm16284,ENSMUSG00000086235,0,0
Gm38259,ENSMUSG00000102253,0,0
Gm37005,ENSMUSG00000103884,0,4
Gm15452,ENSMUSG00000084353,0,0
Gm36964,ENSMUSG00000103933,0,3
Gm6152,ENSMUSG00000086195,0,0
Gm7445,ENSMUSG00000104504,0,0
Gm7493,ENSMUSG00000066693,0,0
Gm37629,ENSMUSG00000102316,56,84
Gm38008,ENSMUSG00000103819,0,0
Gm37143,ENSMUSG00000102871,0,0
Gm6187,ENSMUSG00000101571,0,0
Gm18299,ENSMUSG00000104428,0,0
Gm7512,ENSMUSG00000102272,0,0
Gm24765,ENSMUSG00000065625,0,0
Gm18300,ENSMUSG00000103411,0,0
Rrs1,ENSMUSG00000061024,188,226
Adhfe1,ENSMUSG00000025911,121,168
2610203C22Rik,ENSMUSG00000079671,1,5
Gm6161,ENSMUSG00000081441,0,0
