# Program:featureCounts v1.6.3; Command:"featureCounts" "-s" "1" "--read2pos" "5" "-a" "/home2020/home/inci/mvernier/cpid_multireg_female/SMART-3SEQ-smk/code/necessary_info/m38_p6/gencode.vM25.chr_patch_hapl_scaff.basic.annotation.gtf" "-o" "/home2020/home/inci/mvernier/cpid_multireg_female/SMART-3SEQ-smk/code/output_control_m38//counts/cpid_multireg_control_counts.txt" "/home2020/home/inci/mvernier/cpid_multireg_female/SMART-3SEQ-smk/code/output_control_m38//dedup_bam/Ins-1787_R2.dedup.bam" "/home2020/home/inci/mvernier/cpid_multireg_female/SMART-3SEQ-smk/code/output_control_m38//dedup_bam/Ins-1788_R2.dedup.bam" 
Geneid	Chr	Start	End	Strand	Length	/home2020/home/inci/mvernier/cpid_multireg_female/SMART-3SEQ-smk/code/output_control_m38//dedup_bam/Ins-1787_R2.dedup.bam	/home2020/home/inci/mvernier/cpid_multireg_female/SMART-3SEQ-smk/code/output_control_m38//dedup_bam/Ins-1788_R2.dedup.bam
ENSMUSG00000102693.1	chr1	3073253	3074322	+	1070	0	0
ENSMUSG00000064842.1	chr1	3102016	3102125	+	110	0	0
ENSMUSG00000051951.5	chr1;chr1;chr1	3214482;3421702;3670552	3216968;3421901;3671498	-;-;-	3634	151	198
ENSMUSG00000102851.1	chr1	3252757	3253236	+	480	0	0
ENSMUSG00000103377.1	chr1	3365731	3368549	-	2819	66	53
ENSMUSG00000104017.1	chr1	3375556	3377788	-	2233	56	76
ENSMUSG00000103025.1	chr1	3464977	3467285	-	2309	25	22
ENSMUSG00000089699.1	chr1;chr1	3466587;3513405	3466687;3513553	+;+	250	0	2
ENSMUSG00000103201.1	chr1	3512451	3514507	-	2057	19	19
ENSMUSG00000103147.1	chr1	3531795	3532720	+	926	0	0
ENSMUSG00000103161.1	chr1	3592892	3595903	-	3012	26	22
ENSMUSG00000102331.1	chr1;chr1	3647309;3658847	3650509;3658904	-;-	3259	184	267
ENSMUSG00000102348.1	chr1	3680155	3681788	+	1634	5	0
ENSMUSG00000102592.1	chr1	3752010	3754360	+	2351	0	0
ENSMUSG00000088333.2	chr1	3783876	3783933	-	58	0	0
ENSMUSG00000102343.1	chr1;chr1;chr1;chr1;chr1	3905739;3984225;3985160;3985160;3986147	3906134;3984298;3985984;3985351;3986215	-;-;-;-;-	1364	0	0
ENSMUSG00000025900.13	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	3999557;4007656;4019070;4024736;4041888;4092617;4119668;4120015;4142612;4147812;4148612;4163855;4170205;4197534;4206660;4226611;4228443;4231053;4243133;4243417;4243543;4245031;4261527;4267469;4284766;4292926;4311270;4344146;4351910;4351910;4352202;4352202;4360200;4409170	3999617;4007737;4019148;4024890;4042107;4092780;4119712;4120073;4142766;4147963;4148744;4163941;4170404;4197641;4206837;4226823;4228619;4231144;4243262;4243448;4243619;4245106;4261605;4267620;4284898;4293012;4311433;4350091;4352081;4352081;4352837;4352837;4360314;4409241	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	10231	0	0
ENSMUSG00000102948.1	chr1;chr1	4256234;4258847	4256427;4260519	-;-	1867	0	0
ENSMUSG00000104123.1	chr1	4363346	4364829	-	1484	0	0
ENSMUSG00000025902.13	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	4490931;4491250;4491390;4491713;4493100;4493100;4493768;4493772;4493772;4493772;4495136;4495136;4496291;4496291;4496291;4496291	4492668;4492663;4492668;4492668;4493490;4493466;4493863;4493863;4493863;4493863;4495942;4495942;4496363;4497354;4496757;4496413	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	4096	41	81
ENSMUSG00000104238.1	chr1;chr1;chr1	4497474;4498007;4499470	4497654;4498211;4499558	+;+;+	475	0	0
ENSMUSG00000102269.1	chr1;chr1	4522905;4524446	4523603;4526737	+;+	2991	0	0
ENSMUSG00000096126.1	chr1	4529017	4529123	+	107	0	0
ENSMUSG00000103003.1	chr1	4534837	4535286	-	450	0	0
ENSMUSG00000104328.1	chr1;chr1	4583129;4585937	4585585;4586252	-;-	2773	0	0
ENSMUSG00000102735.1	chr1	4610471	4611406	+	936	0	0
ENSMUSG00000098104.1	chr1	4687934	4689403	-	1470	2	3
ENSMUSG00000102175.1	chr1	4692219	4693424	-	1206	0	0
ENSMUSG00000088000.1	chr1	4723277	4723379	-	103	0	0
ENSMUSG00000103265.1	chr1	4735046	4735676	-	631	0	0
ENSMUSG00000103922.1	chr1	4771131	4772199	+	1069	3	6
ENSMUSG00000033845.13	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	4773206;4773211;4777525;4777525;4781221;4782568;4782568;4782568;4783951;4783951;4783951;4785573;4785573;4785573	4774516;4776801;4777648;4777648;4782301;4782733;4782733;4782733;4784105;4784105;4784105;4785739;4785710;4785739	-;-;-;-;-;-;-;-;-;-;-;-;-;-	5289	380	534
ENSMUSG00000102275.1	chr1	4778063	4779212	-	1150	1	7
ENSMUSG00000025903.14	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	4807823;4807830;4807896;4807911;4808455;4808455;4808455;4808455;4828584;4828584;4828584;4828584;4830268;4830268;4830268;4830268;4832311;4832311;4832311;4832311;4837001;4837001;4837001;4839387;4839387;4840956;4840956;4840956;4841107;4844963;4844963;4844963	4807982;4807982;4807982;4807982;4808486;4808486;4808486;4808486;4828649;4828649;4828649;4828649;4830315;4830315;4830315;4830315;4832381;4832368;4832381;4832381;4837074;4837074;4837074;4839488;4839488;4841132;4841286;4841132;4841132;4845352;4845174;4846739	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	2661	175	311
ENSMUSG00000104217.1	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	4807892;4828584;4830268;4832311;4837001;4839387;4840956;4867470;4878027;4886744	4807982;4828649;4830315;4832381;4837074;4839488;4841132;4867532;4878132;4886770	+;+;+;+;+;+;+;+;+;+	825	0	0
ENSMUSG00000033813.15	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	4857814;4858038;4867470;4867470;4878027;4878027;4886744;4886744;4889457;4889457;4890740;4890740;4891915;4891915;4893417;4893417;4894934;4894934;4896356;4896356	4857976;4858503;4867532;4867532;4878132;4878132;4886831;4886831;4889602;4889602;4890796;4890796;4892069;4892069;4893563;4893563;4895005;4895005;4897909;4897905	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	3017	50	77
ENSMUSG00000062588.4	chr1	4880049	4880651	-	603	0	0
ENSMUSG00000103280.1	chr1	4905751	4906861	-	1111	6	2
ENSMUSG00000002459.17	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	4909576;4909576;4910402;4912314;4912314;4912314;4916897;4916897;4916897;4923847;4923847;4923847;5018576;5019311;5020738;5070010	4910662;4910662;4910662;4912548;4912548;4912548;4916980;4916980;4916980;4923989;4923989;4923989;5018735;5019539;5021037;5070285	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	2514	384	492
ENSMUSG00000091305.1	chr1	4927028	4927299	-	272	0	0
ENSMUSG00000102653.1	chr1	4938576	4940710	-	2135	19	42
ENSMUSG00000085623.1	chr1;chr1;chr1	4970857;4971632;4973565	4971128;4971828;4976820	+;+;+	3725	0	0
ENSMUSG00000091665.1	chr1	5063060	5064647	+	1588	1	0
ENSMUSG00000033793.12	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	5070018;5083080;5083154;5084417;5084417;5084417;5089009;5089009;5089009;5093363;5093363;5093363;5095615;5095615;5095615;5098029;5098029;5098029;5101070;5101070;5117390;5117390;5117390;5124277;5124277;5124277;5133084;5133084;5133084;5135812;5135812;5143750;5143750;5143750;5149948;5149948;5149948;5162105;5162105;5162105	5070144;5083278;5083278;5084563;5084563;5084563;5089111;5089111;5089111;5093452;5093452;5093452;5095728;5095728;5095728;5098133;5098133;5098133;5101123;5101123;5117487;5117487;5117487;5124469;5124469;5124469;5133262;5133262;5133262;5135937;5135937;5143851;5143851;5143851;5150061;5150061;5150061;5162419;5162529;5162340	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	2176	1788	2688
ENSMUSG00000104352.1	chr1;chr1	5276106;5277263	5276762;5277337	-;-	732	0	0
ENSMUSG00000104046.1	chr1	5307739	5310017	+	2279	0	0
ENSMUSG00000102907.1	chr1	5403547	5405578	+	2032	0	0
