# Program:featureCounts v1.6.3; Command:"featureCounts" "-s" "1" "--read2pos" "5" "-a" "/home2020/home/inci/mvernier/cpid_multireg_female/SMART-3SEQ-smk/code/necessary_info/mm10/mm10.ensGene.gtf" "-o" "/home2020/home/inci/mvernier/cpid_multireg_female/SMART-3SEQ-smk/code/output_control_mm10//counts/cpid_multireg_females_counts.txt" "/home2020/home/inci/mvernier/cpid_multireg_female/SMART-3SEQ-smk/code/output_control_mm10//dedup_bam/Ins-1787_R2.dedup.bam" "/home2020/home/inci/mvernier/cpid_multireg_female/SMART-3SEQ-smk/code/output_control_mm10//dedup_bam/Ins-1788_R2.dedup.bam" 
Geneid	Chr	Start	End	Strand	Length	/home2020/home/inci/mvernier/cpid_multireg_female/SMART-3SEQ-smk/code/output_control_mm10//dedup_bam/Ins-1787_R2.dedup.bam	/home2020/home/inci/mvernier/cpid_multireg_female/SMART-3SEQ-smk/code/output_control_mm10//dedup_bam/Ins-1788_R2.dedup.bam
ENSMUSG00000102693	chr1	3073253	3074322	+	1070	0	0
ENSMUSG00000064842	chr1	3102016	3102125	+	110	0	0
ENSMUSG00000051951	chr1;chr1;chr1;chr1;chr1;chr1;chr1	3205901;3206523;3213439;3213609;3214482;3421702;3670552	3207317;3207317;3215632;3216344;3216968;3421901;3671498	-;-;-;-;-;-;-	6094	170	229
ENSMUSG00000102851	chr1	3252757	3253236	+	480	0	0
ENSMUSG00000103377	chr1	3365731	3368549	-	2819	66	53
ENSMUSG00000104017	chr1	3375556	3377788	-	2233	56	76
ENSMUSG00000103025	chr1	3464977	3467285	-	2309	25	22
ENSMUSG00000089699	chr1;chr1	3466587;3513405	3466687;3513553	+;+	250	0	2
ENSMUSG00000103201	chr1	3512451	3514507	-	2057	19	19
ENSMUSG00000103147	chr1	3531795	3532720	+	926	0	0
ENSMUSG00000103161	chr1	3592892	3595903	-	3012	26	22
ENSMUSG00000102331	chr1;chr1	3647309;3658847	3650509;3658904	-;-	3259	184	267
ENSMUSG00000102348	chr1	3680155	3681788	+	1634	5	0
ENSMUSG00000102592	chr1	3752010	3754360	+	2351	0	0
ENSMUSG00000088333	chr1	3783876	3783933	-	58	0	0
ENSMUSG00000102343	chr1;chr1;chr1;chr1;chr1	3905739;3984225;3985160;3985160;3986147	3906134;3984298;3985351;3985984;3986215	-;-;-;-;-	1364	0	0
ENSMUSG00000102948	chr1;chr1	4256234;4258847	4256427;4260519	-;-	1867	0	0
ENSMUSG00000025900	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	4290846;4344146;4351910;4351910;4352202;4352202;4360200;4409170	4293012;4350091;4352081;4352081;4352837;4352837;4360314;4409241	-;-;-;-;-;-;-;-	9108	0	0
ENSMUSG00000104123	chr1	4363346	4364829	-	1484	0	0
ENSMUSG00000025902	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	4490931;4491250;4491390;4491713;4492457;4492458;4492465;4492467;4493100;4493100;4493100;4493100;4493768;4493772;4493772;4493772;4493772;4495136;4495136;4495136;4495136;4496291;4496291;4496291;4496291;4496291;4496291	4492668;4492663;4492668;4492668;4493604;4492668;4492668;4492668;4493735;4493490;4493490;4493466;4493863;4493863;4493863;4493863;4493863;4495942;4495198;4495942;4495942;4496396;4496330;4497354;4496363;4496413;4496757	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	4772	41	81
ENSMUSG00000104238	chr1;chr1;chr1;chr1	4496551;4497474;4498007;4499470	4499378;4497654;4498211;4499558	+;+;+;+	2917	0	0
ENSMUSG00000102269	chr1;chr1	4522905;4524446	4523603;4526737	+;+	2991	0	0
ENSMUSG00000096126	chr1	4529017	4529123	+	107	0	0
ENSMUSG00000103003	chr1	4534837	4535286	-	450	0	0
ENSMUSG00000104328	chr1;chr1	4583129;4585937	4585585;4586252	-;-	2773	0	0
ENSMUSG00000102735	chr1	4610471	4611406	+	936	0	0
ENSMUSG00000098104	chr1	4687934	4689403	-	1470	2	3
ENSMUSG00000102175	chr1	4692219	4693424	-	1206	0	0
ENSMUSG00000088000	chr1	4723277	4723379	-	103	0	0
ENSMUSG00000103265	chr1	4735046	4735676	-	631	0	0
ENSMUSG00000103922	chr1	4771131	4772199	+	1069	3	6
ENSMUSG00000033845	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	4773206;4773211;4774436;4776377;4777525;4777525;4777525;4777525;4779967;4781221;4782568;4782568;4782568;4782568;4782568;4783572;4783951;4783951;4783951;4783951;4785573;4785573;4785573;4785573;4785573;4785573	4774516;4776801;4774516;4776801;4777648;4777648;4777648;4777648;4784566;4782301;4782733;4782733;4782606;4782733;4782733;4784105;4784105;4784105;4784105;4784105;4785739;4785692;4785739;4785698;4785710;4785739	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	8487	406	543
ENSMUSG00000102275	chr1	4778063	4779212	-	1150	1	7
ENSMUSG00000025903	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	4807788;4807823;4807830;4807896;4807898;4807911;4808237;4808455;4808455;4808455;4808455;4808455;4808455;4808455;4828584;4828584;4828584;4828584;4828584;4828584;4828584;4830268;4830268;4830268;4830268;4830268;4830268;4832311;4832311;4832311;4832311;4832311;4832311;4832311;4836905;4837001;4837001;4837001;4837001;4837001;4837001;4839387;4839387;4839387;4839387;4839387;4840956;4840956;4840956;4840956;4840956;4840956;4840956;4841107;4844963;4844963;4844963;4846784;4848140	4807982;4807982;4807982;4807982;4807982;4807982;4808365;4808486;4808486;4808486;4808486;4808486;4808486;4808486;4828649;4828649;4828649;4828649;4828649;4828649;4828649;4830315;4830315;4830315;4830315;4830315;4830315;4832381;4832381;4832381;4832368;4832381;4832381;4832381;4839488;4837074;4837074;4837074;4837074;4837074;4837074;4839488;4839488;4839488;4839488;4839488;4841093;4842827;4841132;4840969;4841286;4841132;4841132;4841132;4845352;4845174;4846739;4846883;4848410	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	7145	182	329
ENSMUSG00000104217	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	4807892;4828584;4830268;4832311;4837001;4839387;4840956;4867470;4878027;4886744	4807982;4828649;4830315;4832381;4837074;4839488;4841132;4867532;4878132;4886770	+;+;+;+;+;+;+;+;+;+	825	0	0
ENSMUSG00000033813	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	4857814;4858038;4867470;4867470;4878027;4878027;4886744;4886744;4889457;4889457;4890740;4890740;4891915;4891915;4893417;4893417;4894934;4894934;4896356;4896356	4857976;4858503;4867532;4867532;4878132;4878132;4886831;4886831;4889602;4889602;4890796;4890796;4892069;4892069;4893563;4893563;4895005;4895005;4897909;4897905	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	3017	50	77
ENSMUSG00000062588	chr1	4880049	4880651	-	603	0	0
ENSMUSG00000103280	chr1	4905751	4906861	-	1111	6	2
